OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00056946,8.843537415,7.33,6.43,0.00,0.00,1.36,0.00
E00056947,3.759398496,6.87,11.95,0.60,0.00,1.50,0.30
E00056948,3.100775194,3.86,8.14,0.59,0.00,0.00,0.00
E00056949,2.105263158,10.18,9.86,3.59,0.00,1.05,0.00
E00056950,4,7.92,6.09,0.75,0.00,0.00,0.00
E00056951,3.100775194,7.66,10.26,0.73,0.00,1.55,0.00
E00056952,3.90625,7.64,4.67,1.04,0.00,0.78,0.00
E00056953,0.8,8.46,13.46,1.92,0.00,2.40,0.00
E00056954,3.25203252,3.23,9.46,0.72,0.00,1.63,0.00
E00056955,5.555555556,7.05,13.92,0.32,0.00,0.79,0.00
E00056956,4,7.50,8.74,1.25,0.00,1.60,0.00
E00056957,5.737704918,5.36,7.20,0.36,0.00,2.46,0.00
E00056958,3.521126761,10.61,7.38,2.57,0.00,4.93,0.00
E00056959,6.41025641,8.84,7.37,0.55,0.00,2.56,0.55
E00056960,3.428571429,8.88,6.22,0.76,0.00,5.14,0.25
E00056961,5.185185185,5.26,11.73,0.93,0.00,0.00,0.00
E00056962,5.517241379,10.42,10.99,0.00,0.00,1.38,0.00
E00056963,8.287292818,4.43,6.97,0.00,0.00,2.21,0.26
E00056964,11.36363636,7.94,6.98,0.00,0.00,3.79,0.29
E00056965,5.072463768,10.81,12.59,0.34,0.00,1.45,0.34
E00056966,2.142857143,23.66,9.62,1.79,0.00,4.29,0.72
E00056967,28.57142857,5.86,12.22,0.00,0.00,8.33,0.00
E00056968,4.081632653,4.14,9.79,0.24,0.00,0.68,0.73
E00056969,3.921568627,4.55,8.04,0.00,0.00,1.96,0.00
E00056970,3.174603175,4.91,10.11,0.00,0.00,0.79,0.92
E00056971,2.06185567,6.05,6.80,0.00,0.00,3.09,0.47
E00056972,4.918032787,2.91,5.45,0.00,0.00,0.00,0.58
E00056973,7.462686567,2.16,12.88,0.00,0.00,0.00,1.30
E00056974,2.777777778,9.85,7.64,0.92,0.00,2.78,0.31
E00056975,4.487179487,10.99,7.73,0.85,0.00,3.21,0.00
E00056976,3.428571429,4.78,2.63,0.00,0.00,0.57,0.00
E00056977,1.136363636,4.62,7.03,0.00,0.00,2.27,0.42
E00056978,2.083333333,6.92,4.35,1.04,0.00,1.39,0.00
E00056979,8.208955224,5.81,12.71,0.00,0.00,5.97,0.29
E00056981,7.8125,8.22,8.28,0.66,0.00,3.13,0.00
E00056982,11.19402985,15.18,11.33,3.27,2.98,2.99,0.00
E00056983,3.149606299,10.42,9.93,0.33,0.00,1.57,0.33
E00056984,10.14492754,14.77,5.05,1.14,0.00,2.17,0.00
E00056985,3.418803419,8.01,12.75,0.70,0.00,1.71,0.00
E00056986,12.29508197,10.90,9.79,0.00,0.00,7.38,0.00
E00056987,3.90625,9.78,11.72,0.32,0.00,1.56,0.00
E00056988,12.97709924,22.26,8.33,2.97,10.09,9.16,0.00
E00056989,7.936507937,7.46,7.33,1.19,0.00,4.76,0.30
E00056990,7.894736842,10.59,8.26,0.39,0.00,2.63,0.00
E00056991,4.054054054,7.61,9.71,0.00,0.00,1.35,0.00
E00056992,28.14814815,7.99,9.77,0.00,0.00,11.11,1.65
E00056993,8.208955224,5.36,9.32,0.00,0.00,11.19,6.85
E00056994,4.87804878,8.33,9.94,0.62,0.00,10.57,2.78
E00056995,16.93548387,9.84,6.87,0.66,0.00,12.90,3.28
E00056997,18.75,4.20,7.76,0.00,0.38,15.63,6.87
E00056998,7.894736842,9.35,0.58,0.00,0.00,34.74,11.26
E00056999,5.691056911,3.44,8.14,0.00,0.00,5.69,6.19
E00057000,19.62616822,7.53,5.88,0.36,0.00,12.15,0.36
E00057001,9.655172414,7.67,6.04,0.55,0.00,11.72,1.64
E00057002,5.504587156,5.86,4.84,0.42,0.00,4.59,1.26
E00057003,5.34351145,9.68,10.20,0.00,0.00,2.29,3.23
E00057004,5.555555556,10.00,6.67,1.05,0.00,2.22,3.68
E00057005,9.734513274,16.41,8.96,3.08,0.00,13.27,3.08
E00057006,3.448275862,11.98,10.00,0.83,0.00,1.72,0.00
E00057007,3.846153846,10.26,10.14,1.47,0.00,0.00,1.10
E00057008,6.12244898,9.80,15.28,0.41,0.00,4.08,2.86
