OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00057971,4.081632653,7.53,7.74,1.71,0.00,10.88,2.05
E00057972,5.217391304,2.03,6.15,0.68,0.00,6.96,1.36
E00057973,2.205882353,4.42,8.43,0.59,0.00,3.68,3.24
E00057974,7.042253521,3.40,6.57,0.85,0.00,3.52,0.57
E00057975,6.382978723,1.63,4.52,0.54,0.00,0.71,0.00
E00057976,16.07142857,10.68,9.00,0.85,0.00,8.93,0.85
E00057977,3.597122302,9.86,5.11,0.35,0.00,4.32,1.76
E00057978,1.694915254,6.40,4.71,1.22,0.00,0.85,4.27
E00057979,3.546099291,14.95,8.13,3.99,0.00,8.51,1.33
E00057980,3.529411765,5.82,7.11,0.45,0.00,8.82,3.80
E00057981,5.263157895,13.06,8.16,0.90,0.00,0.00,0.90
E00057982,4.464285714,5.42,4.69,1.67,0.00,2.68,0.00
E00057983,10.61946903,7.26,3.62,1.21,0.00,4.42,2.02
E00057984,5.426356589,5.25,4.27,0.83,0.00,0.78,0.55
E00057985,2.380952381,6.79,3.70,0.00,0.00,7.94,5.48
E00057986,11.02362205,7.07,4.26,0.32,0.00,3.15,0.32
E00057987,8,11.23,4.03,0.00,0.00,4.80,3.51
E00057988,4.347826087,4.52,6.98,0.97,0.00,0.87,2.58
E00057989,5.833333333,6.09,3.01,0.00,0.00,2.50,6.96
E00057990,3.47826087,3.77,3.23,1.13,0.00,0.87,0.75
E00057991,9.649122807,4.20,9.27,0.38,0.00,0.88,0.00
E00057992,2.158273381,8.19,7.10,1.46,0.00,1.44,1.17
E00057993,13.43283582,10.76,4.80,1.20,0.00,9.70,1.20
E00057994,3.703703704,5.60,5.26,0.80,0.00,2.78,1.60
E00057995,4.504504505,8.72,5.05,0.46,0.00,7.21,1.38
E00057996,6.086956522,11.02,4.70,3.27,6.94,7.83,0.00
E00057997,7.086614173,10.09,6.58,1.19,0.00,2.36,2.97
E00057998,12.04819277,17.06,2.82,1.18,0.00,4.82,1.76
E00057999,4.761904762,6.75,2.86,0.40,0.00,0.95,0.79
E00058000,6.481481481,22.31,5.77,3.46,13.85,9.26,1.54
E00058001,2.290076336,5.11,6.82,0.81,0.00,1.53,0.27
E00058002,14.38356164,11.98,3.19,0.83,0.00,13.01,1.24
E00058003,1.030927835,6.01,3.85,1.29,0.00,1.03,0.43
E00058004,6.25,7.41,3.05,0.00,0.00,1.79,1.48
E00058005,4.201680672,5.97,3.79,0.75,0.00,1.68,1.87
E00058006,4,5.45,6.38,0.00,0.00,0.00,1.82
E00058007,4.132231405,4.72,5.71,0.31,0.00,4.13,0.94
E00058008,0.847457627,22.67,5.71,5.33,0.00,2.54,0.00
E00058009,2.542372881,4.71,5.98,0.29,0.00,2.54,0.00
E00058010,9.090909091,7.65,7.89,1.22,0.00,3.79,0.92
E00058011,16.66666667,10.03,4.88,0.00,0.00,10.67,1.38
E00058012,5.982905983,12.10,5.83,0.40,0.00,3.42,1.61
E00058013,3.225806452,3.98,5.10,0.00,0.00,1.61,1.33
E00058014,3.2,4.99,3.00,1.76,0.00,0.80,3.23
E00058015,12.76595745,11.15,4.24,0.74,0.00,9.22,1.49
E00058016,3.587443946,6.50,5.11,0.53,0.00,12.56,5.27
E00058017,6.52173913,5.47,2.94,0.30,0.00,9.42,2.13
E00058018,2.777777778,32.67,8.33,5.94,13.20,11.11,3.30
E00058019,0.746268657,12.02,5.04,1.55,0.00,2.24,1.55
E00058020,3,5.97,3.55,0.31,0.00,6.00,3.46
E00058021,6.611570248,2.11,5.24,0.26,0.00,4.96,3.96
E00058022,6.206896552,21.43,11.11,2.38,0.00,13.10,2.86
E00058023,4.081632653,5.15,1.92,1.47,0.00,6.80,3.43
E00058024,2.173913043,9.60,2.26,1.66,1.32,2.17,2.65
E00058025,9.090909091,10.86,8.70,1.50,0.00,7.58,2.62
E00058026,5.357142857,24.12,0.00,12.84,0.00,16.67,0.00
E00058027,8.125,8.88,5.92,1.43,0.00,2.50,0.86
E00058028,3.603603604,4.21,4.85,0.32,0.00,1.80,1.62
E00058029,5.405405405,7.22,5.94,1.11,0.00,2.70,2.78
E00058030,3.25203252,5.78,4.44,0.30,0.00,4.07,2.43
E00058031,3.25203252,5.73,2.35,0.36,0.00,15.45,1.08
E00058032,4.06504065,7.88,8.33,0.34,1.71,5.69,2.40
E00058033,2.307692308,5.31,7.78,0.00,0.00,3.08,3.35
E00058034,4.6875,10.13,9.15,0.98,0.98,3.91,2.61
E00058036,5.405405405,5.00,6.71,0.59,0.00,6.31,8.53
E00058037,3.333333333,3.11,6.94,1.55,0.00,1.67,3.42
E00058038,14.63414634,12.46,9.17,1.07,0.00,14.63,1.78
E00058039,2.941176471,3.20,3.21,2.33,0.00,10.59,1.16
E00058040,9.638554217,18.96,1.90,0.74,0.00,5.42,0.74
E00058041,7.5,2.95,4.12,0.00,0.00,1.88,0.00
E00058042,8.064516129,11.90,12.83,0.55,0.00,8.87,0.18
E00058043,5.185185185,7.12,7.93,0.00,0.00,1.48,1.02
E00058044,5.673758865,5.00,4.79,0.63,0.00,2.84,0.31
E00058045,4.761904762,11.91,19.66,4.68,0.00,26.98,0.00
E00058047,6.25,10.12,12.50,0.00,0.00,2.34,0.00
E00058048,4.8,4.80,5.88,0.30,0.00,2.40,0.60
E00058049,5.93220339,9.13,8.21,1.14,0.00,5.08,0.00
E00058050,13.86861314,12.88,13.85,0.31,0.00,9.49,0.31
E00058051,5.6,6.77,8.70,0.38,0.00,4.00,0.75
E00058052,2.752293578,12.39,6.59,1.71,0.00,1.83,0.43
E00058053,8.59375,5.30,7.61,0.31,0.00,5.47,0.00
E00058054,5.172413793,6.47,10.20,0.00,0.00,0.86,0.00
E00058055,3.896103896,8.88,9.36,0.00,0.00,1.30,0.30
E00058056,11.53846154,7.14,9.94,0.36,0.00,7.69,0.00
E00058057,4.90797546,6.95,13.04,0.30,0.00,11.66,0.60
E00058058,4.95049505,6.07,13.07,0.00,0.00,2.97,0.00
E00058059,4.635761589,3.89,10.48,0.00,0.00,2.65,0.00
E00058060,5.511811024,8.30,8.39,1.08,0.00,1.57,0.00
E00058061,0.724637681,8.53,8.78,1.02,0.00,1.45,0.68
E00058062,4.195804196,2.80,8.72,0.00,0.00,3.50,0.56
E00058063,2.586206897,6.93,8.38,0.36,0.00,10.34,0.00
E00058064,5.426356589,5.23,11.33,0.00,0.00,3.88,0.00
E00058065,4.761904762,16.67,8.20,2.90,0.00,9.52,0.00
E00058066,11.29032258,11.27,9.45,0.00,0.00,4.03,0.00
E00058067,4,11.64,14.73,0.00,0.00,4.80,0.36
E00058068,2.836879433,10.48,11.68,0.00,0.00,0.71,0.00
E00058069,5.737704918,2.73,6.78,0.00,0.00,0.82,0.00
E00058070,2.985074627,11.07,7.14,1.07,0.00,2.24,0.00
E00058071,18.42105263,2.66,13.10,0.33,0.00,6.14,0.33
E00058072,6.081081081,6.03,7.98,0.32,0.00,13.51,0.00
E00058073,5.769230769,7.48,15.38,0.23,0.00,8.17,0.45
E00058074,4.166666667,9.19,8.06,1.10,0.00,2.50,0.37
E00058075,24.6031746,7.79,8.28,0.00,0.78,11.11,0.26
E00058076,9.401709402,3.59,10.98,0.00,0.00,0.00,1.63
E00058077,5.93220339,3.25,13.38,0.32,0.00,0.85,0.00
E00058078,8.75,2.66,7.79,0.00,0.00,0.63,0.27
E00058079,6.730769231,2.56,5.43,0.00,0.00,0.00,0.00
E00058080,1.418439716,24.84,6.72,4.09,11.64,2.84,1.89
E00058081,18.18181818,5.19,7.32,0.32,0.00,4.55,0.00
E00058082,5.882352941,5.68,6.02,0.00,0.00,4.81,0.00
E00058083,8.088235294,6.84,7.91,0.00,0.00,16.18,0.38
E00058084,9.090909091,9.48,2.40,1.29,0.00,11.57,0.00
E00058086,2.958579882,5.22,9.77,0.00,0.00,11.83,1.16
E00058087,12.31884058,11.19,4.65,2.37,0.00,5.07,0.34
E00058088,4.444444444,11.07,5.71,1.07,0.00,2.96,1.07
E00058089,5.797101449,10.51,14.69,0.36,0.00,13.04,0.00
E00058090,2.366863905,5.63,12.02,0.26,0.00,1.78,0.26
E00058091,8,4.91,11.11,0.00,0.00,2.86,1.03
E00058092,5.303030303,7.32,8.89,0.81,0.00,9.85,0.41
E00058093,5.93220339,2.86,7.89,0.36,0.00,4.24,1.07
E00058094,9.154929577,5.45,10.50,0.00,0.00,4.93,0.00
E00058095,6.71641791,4.87,7.81,0.00,0.00,6.72,0.65
E00058096,10.14492754,7.21,10.47,0.31,0.00,5.07,0.63
E00058097,12.87878788,10.57,7.69,1.13,0.00,14.39,0.00
E00058098,4.666666667,7.72,9.57,0.62,0.00,7.33,0.31
E00058099,9.734513274,2.50,11.59,0.00,0.00,2.65,0.31
E00058100,6.299212598,5.00,10.24,0.71,0.00,17.32,0.36
E00058101,1.550387597,5.57,8.02,0.00,0.00,0.78,1.11
E00058102,7.692307692,10.30,10.59,0.66,1.99,0.77,0.66
E00058103,6.015037594,8.63,11.04,0.30,0.00,1.50,0.00
E00058104,4.511278195,7.86,7.50,0.36,0.00,1.50,0.36
E00058105,3.125,1.77,9.66,0.00,0.00,0.78,0.00
E00058106,5.042016807,5.49,8.44,0.00,0.00,3.36,0.73
E00058107,5.454545455,1.52,7.94,0.00,0.00,0.91,1.52
E00058108,7.692307692,10.24,9.17,0.00,0.00,4.27,0.00
E00058109,5.405405405,2.83,8.40,0.81,0.00,0.00,0.00
E00058110,1.459854015,7.88,12.05,1.52,0.00,2.19,0.61
E00058111,3,4.17,7.51,0.28,0.00,13.00,1.39
E00058112,5.594405594,9.27,10.00,2.53,5.06,2.80,0.28
E00058113,4.545454545,9.24,10.22,0.42,0.00,9.09,1.26
E00058114,8.196721311,2.94,4.86,0.00,0.00,9.84,0.00
E00058115,5.673758865,6.08,12.38,0.28,0.00,1.42,0.28
E00058116,6.140350877,18.23,9.09,3.65,0.00,7.02,0.00
E00058117,2.272727273,12.10,11.58,1.21,0.00,0.00,0.40
E00058118,8.59375,10.79,4.96,0.00,0.00,10.94,0.32
E00058119,5.714285714,16.92,11.25,1.03,0.00,3.81,0.00
E00058120,12.28070175,3.42,6.71,0.00,0.00,4.39,0.00
E00058121,4.494382022,3.38,11.91,0.23,0.00,1.69,0.00
E00058122,1.550387597,14.62,12.94,1.58,0.00,2.33,2.77
E00058123,7.258064516,6.98,7.09,0.00,0.00,10.48,0.39
E00058124,4.938271605,22.46,7.84,2.17,0.00,7.41,1.45
E00058125,6.349206349,15.85,5.88,2.11,10.21,6.35,0.35
E00058126,7.5,7.94,9.52,1.44,0.00,0.83,0.00
E00058127,7.042253521,10.16,11.51,0.32,8.57,4.93,0.63
E00058128,5.035971223,2.68,9.48,0.00,0.00,2.16,0.27
E00058129,3.676470588,10.96,7.26,0.33,5.32,1.47,0.00
E00058130,8.280254777,3.56,8.44,0.00,0.00,3.18,0.00
E00058131,6.25,4.05,12.00,0.00,0.00,1.79,0.00
E00058132,9.302325581,3.58,9.27,0.22,0.00,2.91,0.00
E00058133,4.166666667,1.17,9.91,0.00,0.00,0.00,0.87
E00058134,3.2,15.12,10.00,1.16,0.00,0.80,0.00
E00058135,7.407407407,7.86,8.11,0.63,0.00,4.44,0.63
E00058136,4.032258065,3.73,9.64,0.00,0.00,8.06,0.31
E00058137,6.140350877,12.17,11.48,0.00,0.00,3.51,0.38
E00058138,5.223880597,7.37,8.09,0.00,0.00,5.22,0.64
E00058139,8.73015873,14.43,15.38,0.34,0.00,4.76,0.00
E00058140,13.95348837,5.32,11.56,0.35,0.00,6.20,0.00
E00058141,12.5,12.26,6.72,0.94,0.00,11.61,0.94
E00058142,14.96062992,13.94,11.20,0.91,0.00,7.09,0.00
E00058143,2.307692308,2.79,7.39,0.00,0.00,2.31,1.52
E00058144,10,8.92,9.93,0.64,0.00,6.15,1.27
E00058145,4.838709677,4.05,9.31,0.00,0.00,1.61,0.31
E00058146,6.106870229,6.35,2.78,0.67,0.00,3.82,0.33
E00058147,10.81081081,12.41,11.11,1.09,0.00,9.01,0.36
E00058148,4.761904762,8.59,9.62,0.00,0.00,0.00,0.34
E00058149,7.317073171,9.73,11.11,0.00,0.00,4.07,0.67
E00058150,3.053435115,6.58,8.72,0.00,0.00,0.76,0.00
E00058151,9.009009009,7.45,16.67,0.35,0.00,7.21,0.35
E00058152,6.944444444,15.69,10.34,0.92,3.08,4.17,0.31
E00058153,5.263157895,13.01,9.23,0.68,0.00,6.02,0.00
E00058154,3.623188406,7.14,9.72,0.31,0.00,3.62,0.62
E00058155,8.8,6.62,10.76,0.00,0.00,1.60,0.37
E00058156,5.035971223,3.06,11.62,0.28,0.00,2.16,0.28
E00058157,3.703703704,4.47,9.83,0.64,0.00,2.22,0.00
E00058158,5.6,8.82,13.38,0.65,0.00,4.00,0.00
E00058159,2.459016393,11.32,10.71,0.94,0.00,5.74,0.47
E00058160,6.451612903,7.10,13.51,0.32,0.00,3.23,0.00
E00058161,7.333333333,8.71,12.43,1.20,0.00,8.00,0.90
E00058162,2.542372881,7.28,12.40,1.53,0.00,1.69,0.00
E00058163,2.205882353,6.40,12.71,0.29,0.00,3.68,0.29
E00058164,10.2739726,6.39,6.90,0.00,0.00,0.68,0.28
E00058165,9.638554217,6.46,8.77,0.00,0.00,1.81,0.24
E00058166,2.777777778,9.52,8.26,0.00,0.00,3.70,0.79
E00058167,0.869565217,7.57,13.87,0.00,0.00,1.74,0.00
E00058168,5.755395683,4.08,15.15,0.00,0.00,1.44,0.00
E00058169,12.58741259,8.19,10.30,0.00,0.00,4.90,0.00
E00058170,10.6557377,5.28,10.19,0.38,0.00,0.82,0.38
E00058171,10.43478261,4.84,10.16,0.40,0.00,0.00,0.81
E00058172,3.731343284,4.43,8.08,0.25,0.00,0.00,0.99
E00058173,7.03125,4.72,9.57,0.00,0.00,0.78,0.56
E00058174,6.363636364,10.08,11.11,0.40,0.00,9.09,0.00
E00058175,15.71428571,16.42,12.17,1.47,0.00,12.14,0.29
E00058177,19.2,10.85,7.69,0.00,0.00,11.20,0.00
E00058178,14.28571429,7.54,9.26,0.29,0.00,13.66,1.16
E00058179,10.61946903,3.05,4.95,0.00,0.00,0.88,0.68
E00058180,7.826086957,8.09,8.09,0.43,0.00,10.43,0.00
E00058181,10.81081081,14.66,5.30,1.30,0.00,8.78,0.00
E00058182,6.060606061,7.44,10.92,0.65,0.00,3.03,0.97
E00058183,6.557377049,5.98,10.65,0.33,0.00,1.64,1.33
E00058184,6.71641791,6.06,6.94,0.43,0.00,17.91,0.87
E00058185,8.547008547,8.57,6.77,0.00,0.00,7.69,0.41
E00058186,11.29032258,3.80,10.81,0.00,0.00,4.84,0.00
E00058187,12.30769231,9.00,12.67,0.64,0.00,14.62,1.29
E00058188,9.836065574,2.22,4.40,0.00,0.00,1.64,1.59
E00058189,2.312138728,17.47,6.06,2.18,0.00,26.59,0.00
E00058190,6.603773585,6.46,10.00,0.00,0.00,3.77,1.14
E00058191,7.106598985,3.80,5.35,0.00,0.00,23.35,0.27
E00058192,5,30.00,6.15,7.27,10.91,4.17,0.00
E00058193,5.737704918,4.33,7.10,0.00,0.00,3.28,1.00
E00058194,3.703703704,5.32,8.44,0.00,0.00,7.41,0.38
E00058195,4.273504274,10.66,10.85,0.41,0.00,7.69,0.00
E00058196,5.147058824,15.68,4.10,2.97,0.00,17.65,0.42
E00058197,1.851851852,10.53,13.39,0.48,0.00,3.70,0.48
E00058199,6.617647059,4.30,7.50,1.17,0.00,21.32,0.00
E00058200,11.25827815,6.10,9.04,0.29,0.00,6.62,0.29
E00058201,4,13.15,7.41,0.47,0.00,30.40,1.41
E00058202,8.26446281,5.05,6.78,0.00,0.00,2.48,0.00
E00058204,6.504065041,11.20,7.59,2.90,3.32,13.01,0.00
E00058205,15.12195122,5.42,5.45,0.72,0.00,7.80,0.36
E00058206,5.084745763,8.23,11.11,0.00,0.00,13.56,0.00
E00058207,7.482993197,10.20,7.37,2.33,4.37,1.36,0.00
E00058208,8.333333333,12.17,7.59,0.30,0.00,10.42,0.59
E00058209,6.474820144,10.46,10.39,0.33,0.00,6.47,0.00
E00058210,7.207207207,5.50,9.33,0.00,0.00,0.90,0.31
E00058211,9.448818898,14.01,5.26,0.00,0.00,9.45,0.39
E00058212,2.912621359,3.86,6.67,0.00,0.00,4.85,0.00
E00058213,12.39669421,17.05,4.55,0.00,0.00,9.92,0.78
E00058214,5.319148936,7.69,6.25,0.00,0.00,12.23,0.00
E00058215,6.547619048,8.13,8.72,0.30,0.00,11.90,0.00
E00058216,1.986754967,17.99,8.08,3.35,0.00,31.79,0.00
E00058217,8.759124088,9.68,6.18,0.36,4.66,9.49,1.08
E00058218,24,10.20,9.78,0.00,0.00,14.00,0.00
E00058219,6.106870229,10.20,3.57,0.00,0.00,9.92,0.00
E00058220,8.383233533,3.40,10.28,0.26,0.00,15.57,0.79
E00058221,4.464285714,6.67,8.50,0.00,0.00,9.82,0.00
E00058222,4.242424242,21.36,10.32,3.73,8.14,12.12,0.34
E00058223,4.511278195,2.52,8.72,0.00,0.00,1.50,0.28
E00058224,6.201550388,17.98,10.62,0.37,0.00,3.88,0.00
E00058225,4.417670683,4.48,4.50,0.75,1.12,4.02,1.31
E00058226,1.449275362,9.43,3.65,1.13,0.00,20.29,1.13
E00058227,7.692307692,9.05,4.00,2.06,0.00,5.98,0.00
E00058228,4.807692308,9.73,4.81,0.88,0.00,8.65,2.21
E00058229,11.53846154,6.47,6.98,0.00,0.00,12.50,2.91
E00058230,14.48275862,18.22,4.95,2.23,0.00,9.66,4.09
E00058231,15.04424779,10.24,7.07,0.79,0.00,14.16,1.57
E00058232,16.40625,19.92,7.41,0.85,2.97,14.06,1.27
E00058233,13.79310345,9.83,8.92,0.00,0.00,8.97,1.97
E00058234,0,1.33,4.41,0.27,0.00,0.00,0.53
E00058235,0.862068966,8.13,7.21,2.44,0.00,0.00,0.41
E00058236,2.083333333,4.79,10.07,0.96,0.00,3.47,0.00
E00058237,3.278688525,3.32,3.90,0.33,0.00,2.46,0.66
E00058238,1.785714286,4.36,4.83,0.67,0.00,0.00,0.34
E00058239,5.555555556,8.01,3.79,1.05,0.00,0.79,1.39
E00058240,3.875968992,8.70,4.21,1.63,5.16,3.10,0.82
E00058241,6.306306306,5.41,3.36,0.68,0.00,1.80,2.70
E00058242,5.607476636,3.16,7.58,0.40,0.00,4.67,1.58
E00058243,0.900900901,11.44,5.49,1.27,0.00,1.80,0.42
E00058244,9.649122807,4.44,4.58,0.00,0.00,0.00,0.74
E00058245,3.787878788,10.39,3.42,4.76,0.00,3.03,3.90
E00058246,0,6.09,4.63,0.43,0.00,0.96,0.00
E00058247,5.309734513,8.48,0.00,0.00,0.00,2.65,2.23
E00058248,4.587155963,6.64,8.06,0.35,0.00,0.92,1.40
E00058249,3.448275862,6.44,2.94,0.38,0.00,2.59,0.76
E00058250,4.761904762,8.00,1.57,0.89,0.00,7.94,0.89
E00058251,4.237288136,3.61,3.57,0.36,0.00,3.39,1.44
E00058252,1.481481481,10.25,2.31,2.47,0.00,3.70,3.53
E00058253,7.633587786,11.48,3.45,2.62,0.00,6.87,0.66
E00058254,16.19047619,9.80,4.59,0.41,0.00,17.14,3.67
E00058255,12.30769231,14.55,7.05,0.31,0.00,7.69,1.24
E00058256,9.401709402,24.35,3.85,4.78,8.70,17.09,1.30
E00058257,14,9.65,5.63,0.00,0.00,3.00,2.19
E00058258,21.13821138,7.69,0.96,0.00,0.00,8.94,2.69
E00058259,10.76923077,4.40,1.39,1.60,0.00,6.92,2.80
E00058260,17.64705882,12.12,7.32,0.67,0.00,11.76,2.69
E00058261,13.53383459,10.82,4.72,0.75,0.00,8.27,2.24
E00058262,11.29032258,23.03,5.31,7.29,0.00,12.37,2.04
E00058263,5.780346821,14.98,3.37,0.44,0.00,13.87,3.96
E00058264,15.74074074,10.23,6.54,0.38,0.00,7.41,1.14
E00058265,17.27272727,13.73,4.72,0.00,0.00,9.09,3.52
E00058266,3.571428571,1.68,3.13,0.84,0.00,1.79,0.00
E00058267,2.702702703,4.22,5.73,0.32,0.00,0.00,1.30
E00058268,1.666666667,2.89,8.93,0.00,0.00,0.83,0.64
E00058269,1.680672269,5.48,8.11,0.68,0.00,2.52,2.05
E00058270,5.6,4.27,7.27,0.91,0.00,1.60,0.30
E00058271,1.680672269,5.38,4.17,2.24,0.00,3.36,1.35
E00058272,1.739130435,3.81,7.50,1.27,0.00,0.87,0.32
E00058273,1.612903226,15.10,1.85,2.60,0.00,1.61,0.52
E00058274,3.418803419,3.05,2.58,0.34,0.00,0.85,0.68
E00058275,3.100775194,7.65,3.33,2.35,0.00,1.55,0.29
E00058276,8.181818182,10.50,6.19,1.26,0.00,6.36,0.42
E00058277,1.801801802,20.10,4.69,9.79,0.00,6.31,0.52
E00058278,5.982905983,4.71,3.47,1.81,0.00,0.85,0.00
E00058279,7.37704918,6.77,3.77,0.32,0.00,2.46,0.97
E00058280,6.796116505,7.42,3.73,0.39,0.00,0.97,2.34
E00058281,2.290076336,9.32,8.77,0.42,0.00,3.05,0.00
E00058282,9.734513274,3.18,6.58,1.41,0.00,2.65,0.71
E00058283,3.47826087,5.54,6.41,0.98,0.00,2.61,2.28
E00058284,7.207207207,3.38,5.49,0.68,0.00,2.70,0.68
E00058285,8.888888889,4.14,9.20,2.07,0.00,4.44,3.45
E00058286,6,13.61,1.37,1.18,0.00,3.00,0.00
E00058287,3.03030303,2.69,4.45,0.22,0.00,2.42,0.90
E00058288,2.459016393,4.88,5.39,0.30,0.00,0.82,0.00
E00058289,8.108108108,4.24,9.79,1.06,0.00,0.00,1.06
E00058290,2.702702703,5.05,8.02,0.00,0.00,1.80,2.02
E00058291,5.084745763,4.64,4.72,0.00,0.00,8.47,2.53
E00058292,8.474576271,4.52,4.52,0.32,0.00,0.85,4.52
E00058293,2.419354839,5.06,8.75,0.32,0.00,1.61,0.95
E00058294,6.015037594,7.91,8.89,1.44,0.00,2.26,1.08
E00058295,4.516129032,4.26,5.03,0.91,0.00,2.58,0.00
E00058296,8.396946565,3.01,3.59,1.10,0.00,0.76,2.74
E00058297,1.652892562,3.14,7.06,0.29,0.00,0.83,0.86
E00058298,3.053435115,4.98,8.86,1.78,0.00,0.76,2.14
E00058299,2.479338843,6.06,5.85,0.30,0.00,0.83,2.12
E00058300,2.272727273,9.80,4.48,0.33,0.00,2.27,1.31
E00058301,4.06504065,7.05,5.41,0.83,0.00,0.81,1.66
E00058302,3.50877193,3.34,4.32,0.91,0.00,0.00,0.91
E00058303,3.174603175,6.02,2.04,1.00,0.00,1.59,1.34
E00058304,3.03030303,8.97,7.69,1.03,0.00,1.52,0.34
E00058305,8.181818182,9.13,3.60,1.30,0.00,4.55,0.00
E00058306,11.11111111,3.62,9.33,0.56,0.00,4.76,0.28
E00058307,12.28070175,4.94,7.43,0.00,0.00,1.75,0.00
E00058308,3.676470588,4.05,3.89,0.00,0.00,0.00,0.00
E00058309,3.007518797,7.41,6.99,1.35,0.00,2.26,0.67
E00058310,3.149606299,4.58,10.61,1.41,0.00,1.57,0.00
E00058311,4.166666667,6.85,8.50,1.03,0.00,1.67,0.00
E00058312,2.325581395,3.45,7.00,0.00,0.00,6.98,0.00
E00058313,3.007518797,4.83,8.74,1.51,0.00,0.75,0.30
E00058314,1.550387597,10.07,6.11,1.44,0.00,0.00,0.00
E00058315,3.2,10.53,6.02,2.81,0.00,3.20,0.00
E00058317,10.29411765,9.36,4.26,1.50,0.00,1.47,0.00
E00058318,5.263157895,3.80,8.78,0.00,0.00,0.88,0.00
E00058319,2.654867257,3.16,11.35,0.79,0.00,1.77,0.00
E00058320,1.886792453,3.94,2.63,0.36,0.00,1.89,0.36
E00058321,0,13.77,7.14,6.56,9.18,9.17,0.00
E00058322,4.098360656,6.02,3.91,0.75,0.00,0.82,0.00
E00058323,0.819672131,7.06,7.48,0.92,0.00,0.82,0.31
E00058325,2.027027027,6.48,5.43,0.34,0.00,3.38,0.00
E00058326,3.174603175,2.27,1.45,0.97,0.00,0.00,0.65
E00058327,3.03030303,3.95,7.20,0.00,0.00,2.42,0.47
E00058328,1.57480315,4.45,2.46,2.05,0.00,1.57,0.00
E00058329,3.816793893,8.18,8.91,0.37,0.00,0.76,0.00
E00058330,3.875968992,4.06,6.62,0.94,0.00,0.00,0.00
E00058331,0.751879699,2.74,4.40,0.91,0.00,0.00,0.00
E00058332,8.333333333,5.26,15.22,0.00,1.75,12.50,0.00
E00058333,2.985074627,5.79,9.21,0.32,0.00,2.99,0.00
E00058334,4.379562044,4.76,8.23,0.37,0.00,12.41,1.47
E00058335,2.777777778,15.35,2.38,4.82,0.00,11.81,0.00
E00058336,5.737704918,3.19,8.86,0.35,0.00,0.82,0.00
E00058337,3.571428571,9.63,10.32,0.66,1.99,7.14,1.00
E00058338,2.962962963,5.63,10.18,0.63,0.00,0.74,0.00
E00058339,8.256880734,5.09,9.85,0.00,0.00,0.92,0.00
E00058340,4.093567251,2.68,7.28,0.00,0.00,0.58,0.00
E00058341,2.631578947,3.75,5.60,0.37,0.00,0.00,0.00
E00058342,8.045977011,5.07,8.00,0.46,0.00,4.60,0.00
E00058343,18.51851852,3.21,10.48,0.40,0.00,1.85,0.80
E00058344,4.379562044,5.69,7.41,1.00,0.00,2.19,0.00
E00058345,7.258064516,9.68,7.09,0.36,0.00,4.03,1.79
E00058346,5.035971223,8.90,7.46,1.71,0.00,2.16,0.00
E00058347,3.448275862,5.41,7.14,1.01,0.00,0.00,0.00
E00058348,7.633587786,2.33,5.71,0.00,0.00,3.82,0.00
E00058349,5.785123967,8.68,9.03,1.65,0.00,5.79,0.83
E00058350,3.03030303,6.16,5.23,0.34,0.00,0.00,0.00
E00058351,7.874015748,12.50,5.34,7.57,16.45,9.45,0.00
E00058352,3.75,9.16,6.99,1.53,0.00,18.75,0.38
E00058353,8.910891089,23.97,8.00,7.02,11.98,18.81,0.00
E00058354,8.823529412,4.25,9.22,0.00,0.00,1.18,0.00
E00058355,3.875968992,3.24,6.15,0.00,0.00,4.65,0.00
E00058356,5.882352941,5.71,9.42,0.27,0.00,8.82,0.54
E00058357,0,11.15,8.33,1.92,0.00,1.56,0.00
E00058358,4.87804878,4.25,8.33,0.39,0.00,2.44,0.39
E00058359,3.703703704,6.77,5.88,0.75,0.00,1.48,0.00
E00058360,8.403361345,5.71,4.92,1.22,0.00,1.68,0.00
E00058361,4.929577465,5.46,7.10,0.00,0.00,2.11,0.00
E00058362,0.704225352,15.54,7.32,3.04,0.00,2.11,0.00
E00058363,3.149606299,9.29,6.35,0.37,1.86,2.36,0.00
E00058364,6.081081081,5.90,9.63,0.77,0.00,3.38,0.00
E00058365,10.52631579,4.53,8.65,0.32,0.00,11.40,0.32
E00058366,0.71942446,6.57,15.06,0.35,0.00,8.63,0.00
E00058367,3.597122302,4.66,6.25,2.80,0.00,1.44,0.31
E00058368,2.702702703,4.76,4.65,0.37,0.00,0.90,0.37
E00058369,5.844155844,3.53,14.46,0.54,0.00,5.84,0.27
E00058370,6.930693069,8.26,10.31,1.30,0.00,8.91,1.30
E00058371,8.823529412,6.06,5.81,1.21,0.00,5.15,0.00
E00058372,8.8,5.35,12.00,1.26,0.00,4.80,0.00
E00058373,12.14953271,6.57,8.13,0.00,0.00,9.35,0.00
E00058374,8.035714286,5.61,15.56,0.00,0.00,8.93,0.00
E00058375,8.928571429,4.98,6.67,0.36,0.00,2.68,0.00
